title,url,expireDay,deadline,type,imageUrl,projectDesc,budget,skills
ساخت اپلیکیشن Watch To Earn,https://www.karlancer.com/projects/31947,۲۹ روز مانده,زمان پیشنهادی ۱۰ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,من اپلیکیشنی می خوام که با استفاده از آن افراد  بتواند با مشاهده ویدیوها و فیلمها مقداری ارز ترجیحا دو نوع ارز دریافت کند و امکان برداشت ارزها به کیف پول رمز ارزی وجود داشته باشد.,"۱,۵۰۰,۰۰۰ تومان","[""اپلیکیشن اندروید"",""اپلیکیشن نویسی"",""اپلیکیشن"",""طراحی اپلیکیشن"",""برنامه نویسی اپلیکیشن"",""برنامه نویسی"",""برنامه نویسی وب""]"
طراحی کاتالوگ,https://www.karlancer.com/projects/31946,۲۹ روز مانده,زمان پیشنهادی ۳ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"طراحی کاتالوگ ۱۰ صفحه
به کسی که بتونه بهترین طراحی انجام بده واگذار می شود
ارسال نمونه کار الزامی است.","۳,۰۰۰,۰۰۰ تومان","[""طراحی کاتالوگ و بروشور"",""طراحی کاتالوگ"",""کاتالوگ و بروشور"",""کاتالوگ"",""فتوشاپ"",""فتوشاپ کار"",""ادوبی فتوشاپ"",""photoshop"",""گرافیک"",""طراحی گرافیک""]"
پژوهشی در ترجمه انگلیسی قرآن,https://www.karlancer.com/projects/31945,۲۹ روز مانده,زمان پیشنهادی ۱۴ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"یه پژوهش  روی کلمه ی تقوا و مشتقات آن مثل متقی، متقین، و غیره در دوتا از ترجمه های معتبر معاصر مثل ترجمه ی خانم لاله مهری بختیار (آمریکا ۲۰۰۷) و علی سلامی (آمریکا ۲۰۱۶). ببینیم این دو‌ مترجم چه خوانشی از این کلمه داشته اند و چرا؟
فقط کلمه ی تقوا و مشتقات عربی اون رو ببینید با چه معادلهایی به انگلیسی برگرداندن. آیا این معادلها مستمر هستن و یا اینکه در آیات مختلف و context های مختلف تغییر کردن. اگر اینطوره. چرا تغییر کردن؟
تعدادکلمات حداقل 8000 کلمه باشد.","۲۰۰,۰۰۰ تومان","[""ترجمه انگلیسی"",""ترجمه انگلیسی به فارسی"",""ترجمه"",""ترجمه فارسی به انگلیسی"",""ترجمه تخصصی"",""مترجم انگلیسی"",""مترجم"",""مترجم انگلیسی به فارسی""]"
محاسبه حالت و تابع تبدیل,https://www.karlancer.com/projects/31944,۲۹ روز مانده,زمان پیشنهادی ۳ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,محاسبه حالت و تابع تبدیل مدار داده شده به صورت تئوری و در صورت امکان در متلب.,"۳۰۰,۰۰۰ تومان","[""matlab"",""مدار"",""کنترل"",""برق الکترونیک"",""متلب"",""متلب . مهندسی برق ."",""برنامه نویسی متلب"",""برنامه نویسی"",""الکترونیک"",""برق""]"
پی دی اف طراحی و مونتاژ ژنراتور 50 مگاواتی دور پایین,https://www.karlancer.com/projects/31943,۲۹ روز مانده,زمان پیشنهادی ۵ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"با سلام   یک پی دی اف کامل برای طراحی تا مونتاژ کامل یک ژنراتور 50 مگاواتی با دور کمتر از 100 دور در دقیقه میخواستم بعلاوه  طراحی و مونتاژ یک ترانسفورماتور مورد نیاز برای بعد از اینکه این مقدار توان تولید شد  توسط ژنراتور بتونه تنظیم بشه برای ارسال به شبکه برق سراسری یا مصرف داخل کارگاه    شرح داخل پی دی اف هم بدین ترتیبه که از ابتدا شروع طراحی و محاسبه مقدار کویل یا سیم مسی مناسب با تعداد دور و تعداد شیارها و عمق شیارها و فاصله و زاویه شیارها

و نحوه انتقال جریان تحریک به روتور و کلیه جزییات از صفر تا صد طراحی و مونتاژ این ژنراتور و ترانسفورماتور مورد نیاز برای تولید و تنظیم ولتاژ و آمپپیر برای استفاده داخل کارگاه یا ارسال به شبکه برق سراسری  و محاسبه کلیه هزینه های ساخت این ژنراتور و ترانسفورماتور  رو با نققشه های دیاگرام و متلب و شماتیک رو میخواستم و با تصاویر بیشتر میخواستم مراحل توضیح داده بشه با محاسبات دقیق و بدون اشتباه و انتخاب نوع آلیاژ هسته روتور و استاتور و نقشه کامل سیم پیچی و کلیه اطلاعات دقیق مورد نیاز برای طراحی تا تولید نهایی این ژنراتور و ترانسفورماتور رو میخواستم با تصاویر و محاسبات مقدار مواد اولیه مصرفی و تجهیزات مورد نیاز برای تولید این دو دستکاه و کنترل و بهره برداری بعد از ساخت این دو دستگاه   با تشکر البته اگر این فایل درست و کامل ارایه بشه","۵۰۰,۰۰۰ تومان","[""برق"",""برق الکترونیک"",""برق صنعتی"",""متلب"",""متلب . مهندسی برق ."",""matlab"",""برنامه نویسی"",""برنامه نویسی متلب""]"
ادیت عکس، استوری موشن، طراحی پست,https://www.karlancer.com/projects/31942,۲۹ روز مانده,زمان پیشنهادی ۳۰ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"سلام...
به یک نیروی جوان و پرانرژی برای دورکاری و تولید محتوای ویدیویی و تصویری برای اینستاگرام نیاز دارم. خانم یا آقا مهم نیست اما نظم و آماده سازی و رسوندن کار برام اهمیت زیادی داره... 
باید بتونید با این نرم‌افزارها کار کنید: Photoshop, After Effect, Premiere
محتوای خام بهتون داده میشه و میخوام که ادیت‌های خیلی ساده اما با کیفیت برام انجام بدید... البته خودم فنی هستم و در صورت لزوم راهنمایی و کمک هم میکنم. سبک کار ساده‌ست اما به کمی ذوق و سلیقه نیاز داره.","۵۰۰,۰۰۰ تومان","[""تمام وقت"",""ادیت عکس"",""ادیت ویدیو"",""تدوین فیلم"",""ادیت ویدئو"",""فتوشاپ"",""افترافکت"",""پریمیر"",""پریمیر پرو"",""گرافیک"",""طراحی گرافیک""]"
درست کردن سرور SMTP قدرتمند و powermta برای ارسال ایمیل,https://www.karlancer.com/projects/31941,۲۹ روز مانده,زمان پیشنهادی ۵ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,یک سرور قوی SMTP با PowerMTA برای ارسال بدون سیم ایمیل بسازید که بشه بصورت UNLIMITED ایمیل فرستاد که تو فرستادن‌ هم میتونید کم‌ کنید هم‌ پیام‌ بدین,"۲۰۰,۰۰۰ تومان","[""سرور لینوکس"",""برنامه‌نویسی"",""شبکه کامپیوتری"",""شبکه"",""لینوکس"",""ربات"",""ساخت ربات"",""برنامه نویسی"",""برنامه نویسی وب""]"
طراحی ربات یا برنامه برای درج آگهی در سایت دیوار,https://www.karlancer.com/projects/31938,۲۹ روز مانده,زمان پیشنهادی ۱۰ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"طراحی ربات یا برنامه برای درج آگهی در سایت 
به صورتی که آگهی در وضعیت منتظر تایید شماره قرار گیرد","۵,۰۰۰,۰۰۰ تومان","[""برنامه نویسی وب"",""ربات"",""ساخت ربات"",""پایتون"",""python"",""برنامه نویسی پایتون"",""برنامه نویسی""]"
ترجمه از انگلیسی به فارسی,https://www.karlancer.com/projects/31937,۲۹ روز مانده,زمان پیشنهادی ۵ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"نیاز به یک مترجم حرفه ای برای ترجمه متن    از انگلیسی به فارسی برای متن عمومی دارم.
داشتن نمونه کار ترجمه شده روی پروفایل شما باعث افزایش شانس شما برای استخدام می‌شود.","۳۰,۰۰۰ تومان","[""مترجم"",""ترجمه"",""ترجمه تخصصی"",""مترجم انگلیسی"",""مترجم انگلیسی به فارسی"",""ترجمه انگلیسی به فارسی"",""ترجمه انگلیسی"",""انگلیسی"",""انگلیسی به فارسی"",""زبان انگلیسی""]"
معادلات غیر خطی با متلب,https://www.karlancer.com/projects/31936,۲۹ روز مانده,زمان پیشنهادی ۷ روز,پروژه,https://nazarkade.com/wp-content/uploads/shortlink_logos/karlancer-site-500x500.webp,"یه پروژه متلب دارم
معادلات غیر خطی
روشLevenberg and Marquart
براساس least squares method
 یه سری کد متلب را هم هست . ولی فک کنم کامل نیست.","۵۰۰,۰۰۰ تومان","[""متلب"",""برنامه نویسی"",""matlab"",""برنامه نویسی متلب"",""نرم افزار متلب"",""کدنویسی با متلب""]"
